Date,Portfolio_PnL
2023-07-18,12196.172962257173
2023-07-19,551.6319190030918
2023-07-20,-3368.1557940475177
2023-07-21,3917.3934211349115
2023-07-24,5259.179754636716
2023-07-25,493.61650874326006
2023-07-26,824.2558609426487
2023-07-27,-1043.317155286204
2023-07-28,16118.87358865398
2023-07-31,7130.365637774346
2023-08-01,-1085.1968993255869
2023-08-02,-15208.010888990713
2023-08-03,-8079.12533222721
2023-08-04,-3414.2949266531505
2023-08-07,23213.27719616657
2023-08-08,1007.6682094391435
2023-08-09,-4324.771492466796
2023-08-10,-13544.17383321235
2023-08-11,-1110.559141359292
2023-08-14,5231.799788807519
2023-08-15,-18181.776639267802
2023-08-16,-12209.518085545162
2023-08-17,-13983.745920500485
2023-08-18,7619.0202673655
2023-08-21,968.4748960062861
2023-08-22,-8889.320703527424
2023-08-23,15357.809217476752
2023-08-24,-18980.198306153296
2023-08-25,8046.212641273392
2023-08-28,13435.733591358177
2023-08-29,18077.569692953257
2023-08-30,4026.1532930261455
2023-08-31,-2839.1240385801066
2023-09-01,11584.268742648652
2023-09-05,-17032.41489264043
2023-09-06,-3757.2203637761995
2023-09-07,-5398.2455125977285
2023-09-08,2062.864882101305
2023-09-11,1484.6170773990452
2023-09-12,-998.4942993365694
2023-09-13,-14256.642070514616
2023-09-14,13673.496843243018
2023-09-15,-17151.304250019835
2023-09-18,-1415.4868638440967
2023-09-19,-4259.266416751314
2023-09-20,-7882.1530860806815
2023-09-21,-33372.21640632581
2023-09-22,-3544.0203742133453
2023-09-25,7703.2153857424855
2023-09-26,-23604.4513480179
2023-09-27,7137.120565335732
2023-09-28,10048.82671210263
2023-09-29,-10176.379547022516
2023-10-02,-21198.75181824225
2023-10-03,-20994.09272967046
2023-10-04,9535.06794672436
2023-10-05,-6225.3399482944515
2023-10-06,21351.571523339022
2023-10-09,10923.72352539748
2023-10-10,14235.268846650142
2023-10-11,8362.288711804664
2023-10-12,-9899.746364183258
2023-10-13,-9537.095109676244
2023-10-16,21516.87665608013
2023-10-17,8518.37771341065
2023-10-18,-27233.04659555154
2023-10-19,-21000.811170799192
2023-10-20,-25240.413872360718
2023-10-23,-7205.290659348713
2023-10-24,13210.507799243089
2023-10-25,-18247.520834071795
2023-10-26,701.7643926062156
2023-10-27,-16137.148445385275
2023-10-30,12700.177893823013
2023-10-31,11909.984599573538
2023-11-01,3706.371612777235
2023-11-02,41405.06261388934
2023-11-03,13753.490972189233
2023-11-06,-3266.3000911523122
2023-11-07,-7548.958404889796
2023-11-08,3558.8406801291276
2023-11-09,-10584.842023480916
2023-11-10,24195.38863170659
2023-11-13,3637.9075071138795
2023-11-14,39993.00571352034
2023-11-15,1260.274623049656
2023-11-16,-8649.282390784472
2023-11-17,11118.877625102876
2023-11-20,8414.108484940836
2023-11-21,-5098.648609471973
2023-11-22,7287.12639610027
2023-11-24,4758.627613899298
2023-11-27,-2056.1674083694816
2023-11-28,-6219.037779693492
2023-11-29,5775.228520308388
2023-11-30,11955.009600656107
2023-12-01,24424.025553357555
2023-12-04,-1306.1106655623298
2023-12-05,-15631.851273567649
2023-12-06,-751.2657157341018
2023-12-07,12852.736313894857
2023-12-08,11246.180060579441
2023-12-11,21729.43622130924
2023-12-12,5560.141238664044
2023-12-13,36128.15852301149
2023-12-14,19887.558969154954
2023-12-15,-8006.376873059897
2023-12-18,3104.8954503601417
2023-12-19,11650.834491199348
2023-12-20,-29177.824980987236
2023-12-21,17981.967299598502
2023-12-22,4331.931051984895
2023-12-26,15205.838980370667
2023-12-27,2934.629346457543
2023-12-28,-82.22729582129978
2023-12-29,-4272.716467910446
2024-01-02,-4836.495340895839
2024-01-03,-24153.931077921297
2024-01-04,-6108.998412628658
2024-01-05,6080.012261109659
2024-01-08,21349.542781002587
2024-01-09,-8568.92081019259
2024-01-10,1504.2120347935706
2024-01-11,-635.6588369030505
2024-01-12,-1762.6383141663391
2024-01-16,-11765.483337857062
2024-01-17,-13105.70257409336
2024-01-18,14742.227399735013
2024-01-19,20409.85630709026
2024-01-22,9042.551997695118
2024-01-23,-7637.908946710173
2024-01-24,-760.4509572884999
2024-01-25,24270.331070358865
2024-01-26,-3651.3482176887337
2024-01-29,13089.524113083724
2024-01-30,885.1898371214047
2024-01-31,-26867.31892364123
2024-02-01,19988.398917977698
2024-02-02,6673.391947063152
2024-02-05,-9153.168949658982
2024-02-06,8832.007753699552
2024-02-07,10402.652426133398
2024-02-08,12454.73751236382
2024-02-09,10815.55183685827
2024-02-12,11376.67828868609
2024-02-13,-25457.965676007327
2024-02-14,24304.787292794557
2024-02-15,16464.97766889166
2024-02-16,95.28879579761997
2024-02-20,-9177.812791601522
2024-02-21,6052.776727267075
2024-02-22,33499.91648720205
2024-02-23,-88.68012652359903
2024-02-26,-4104.405738631496
2024-02-27,9531.35008397256
2024-02-28,351.78456779546104
2024-02-29,8793.285372512182
2024-03-01,15131.121799214976
2024-03-04,7956.76367016416
2024-03-05,-9141.993353292812
2024-03-06,11158.096221809275
2024-03-07,13686.63816552516
2024-03-08,-9260.326701145852
2024-03-11,-6594.460950148292
2024-03-12,14523.378887404455
2024-03-13,4521.7641631278675
2024-03-14,-9279.846913988236
2024-03-15,-8147.550666771829
2024-03-18,10277.241424597101
2024-03-19,12444.852164057549
2024-03-20,21397.283068092773
2024-03-21,19247.39971882524
2024-03-22,-12023.54232378467
2024-03-25,-6920.6137839329895
2024-03-26,-770.3086870908737
2024-03-27,26572.226696373196
2024-03-28,10692.782193307998
2024-04-01,-8051.741046963027
2024-04-02,-20050.577274517855
2024-04-03,-479.85345906950533
2024-04-04,-24929.67438212759
2024-04-05,22516.26749403216
2024-04-08,2056.9636007992085
2024-04-09,-6319.665762920631
2024-04-10,-23324.08072213852
2024-04-11,1387.3864576234482
2024-04-12,-27101.029670821037
2024-04-15,-19506.220289095538
2024-04-16,-8611.875990237342
2024-04-17,-13539.773138253484
2024-04-18,-620.4447552619968
2024-04-19,-2415.234492613701
2024-04-22,17649.493481442798
2024-04-23,24769.15061750356
2024-04-24,2293.121809608303
2024-04-25,-6321.721393777523
2024-04-26,13111.232668437762
2024-04-29,11862.678716482129
2024-04-30,-28786.931139946682
2024-05-01,-10391.843240810325
2024-05-02,952.4585094838403
2024-05-03,10110.906371376477
2024-05-06,29491.178189156577
2024-05-07,2568.5339456540532
2024-05-08,-2581.174657323165
2024-05-09,19818.81029916252
2024-05-10,3334.052466784371
2024-05-13,-7442.3990822022315
2024-05-14,7141.443866703659
2024-05-15,27611.09399601794
2024-05-16,-14972.239087715512
2024-05-17,3863.387210924644
2024-05-20,6121.664117632201
2024-05-21,4767.187886112602
2024-05-22,-11136.447456591297
2024-05-23,-18085.869347127387
2024-05-24,15527.260406458285
2024-05-28,-15695.564460013993
2024-05-29,-18321.70408747415
2024-05-30,5483.341597466497
2024-05-31,23078.481999967946
2024-06-03,-12555.888734559063
2024-06-04,-9672.544861414004
2024-06-05,19918.39243286499
2024-06-06,-11378.117282096995
2024-06-07,1976.0381906728726
2024-06-10,18189.560218849918
2024-06-11,-10552.452074535657
2024-06-12,19468.019961094717
2024-06-13,-2661.9491515478585
2024-06-14,-16104.854619515361
2024-06-17,20838.094301644946
2024-06-18,9950.458510531345
2024-06-20,-10321.068136594491
2024-06-21,3830.2445622792
2024-06-24,10884.259279405
2024-06-25,-6364.814132886939
2024-06-26,-11718.549356869888
2024-06-27,4751.0336352367885
2024-06-28,3901.437366363127
2024-07-01,-11425.438564554788
2024-07-02,4510.825113789877
2024-07-03,2583.3377812881954
2024-07-05,-1704.562974421773
2024-07-08,11511.704915623646
2024-07-09,-796.7482488027308
2024-07-10,22678.97780417232
2024-07-11,15984.588439567247
2024-07-12,16505.605775434524
2024-07-15,1606.0633698152378
2024-07-16,32455.934509804472
2024-07-17,-34654.66232393542
2024-07-18,-10578.38606204791
2024-07-19,-19602.203558182344
2024-07-22,30137.28623694973
2024-07-23,-8635.14635965461
2024-07-24,-45865.468004455324
2024-07-25,5060.058859433979
2024-07-26,31094.664635356516
2024-07-29,1874.9934578211978
2024-07-30,-7326.274510701187
2024-07-31,28740.079197356477
2024-08-01,-29857.44171940256
2024-08-02,-67304.18628177396
2024-08-05,-45423.98215875914
2024-08-06,21739.97145860805
2024-08-07,-19796.715715248836
2024-08-08,58832.01740670507
2024-08-09,9917.735697067576
2024-08-12,-8680.054568697233
2024-08-13,29176.225833219243
2024-08-14,6522.505979751004
2024-08-15,36803.67832483235
2024-08-16,2265.0321030979976
2024-08-19,13076.280140343588
2024-08-20,-6792.798004263081
2024-08-21,21016.041443179827
2024-08-22,-10927.545059278142
2024-08-23,28413.164909010753
2024-08-26,-7105.26909568673
2024-08-27,-2158.9893080182374
2024-08-28,-5974.74988247361
2024-08-29,9817.865033918526
2024-08-30,20879.968520733528
2024-09-03,-48076.534278802574
2024-09-04,-4206.360585284419
2024-09-05,-20926.2239664644
2024-09-06,-27879.944263695972
2024-09-09,21405.982289420208
2024-09-10,-5087.455492423847
2024-09-11,13387.549413346685
2024-09-12,16779.924561331514
2024-09-13,20606.660771866795
2024-09-16,12641.873493084218
2024-09-17,5242.854597696569
2024-09-18,-5011.582034100778
2024-09-19,41132.68744954839
2024-09-20,-6933.22110226145
2024-09-23,8505.668638773263
2024-09-24,3549.194801751524
2024-09-25,-9392.954609076027
2024-09-26,10070.625140688382
2024-09-27,946.4160258392803
2024-09-30,-1092.7548293005675
2024-10-01,-15222.452860877384
2024-10-02,-96.04999768035486
2024-10-03,-9266.372020899318
2024-10-04,24145.035366896074
2024-10-07,-14880.424078622367
2024-10-08,6657.473315130919
2024-10-09,16457.771126957145
2024-10-10,-8049.474362612236
2024-10-11,25492.925293637905
2024-10-14,18350.82095032418
2024-10-15,-28693.750127320644
2024-10-16,11970.578875218984
2024-10-17,-42.28084280481562
2024-10-18,497.1485655903816
2024-10-21,-15002.251760147046
2024-10-22,-2455.076637516264
2024-10-23,-8249.634638099931
2024-10-24,3612.389956213068
2024-10-25,6625.707971141208
2024-10-28,10856.826949455775
2024-10-29,-4979.136410614941
2024-10-30,-8178.515780850779
2024-10-31,-31634.296160183847
2024-11-01,-2295.782541014254
2024-11-04,-1181.0349230379798
2024-11-05,35102.69341754727
2024-11-06,56957.23049064865
2024-11-07,9863.061651862226
2024-11-08,20852.18522406323
2024-11-11,10983.429450682364
2024-11-12,-14000.154994177166
2024-11-13,-5318.324667185545
2024-11-14,-8822.574424803723
2024-11-15,-21566.613455156796
2024-11-18,3739.6841644947417
2024-11-19,-13253.515384189319
2024-11-20,856.5252744364552
2024-11-21,32322.140723071992
2024-11-22,18365.18043511035
2024-11-25,24766.71439326834
2024-11-26,6402.36492458079
2024-11-27,-4082.2411848171614
2024-11-29,13412.706254847813
2024-12-02,-5278.680932439864
2024-12-03,-9807.259812243283
2024-12-04,1471.4309906172566
2024-12-05,-11208.557117475662
2024-12-06,-2082.6887950566597
2024-12-09,-21279.534188902937
2024-12-10,-17765.484591688495
2024-12-11,17390.17973113153
2024-12-12,-9639.283690492157
2024-12-13,-3937.3765297597274
2024-12-16,-3166.1791253141128
2024-12-17,-20976.811067666393
2024-12-18,-67061.9323555245
2024-12-19,-10249.013161740266
2024-12-20,32438.956517372746
2024-12-23,9367.314732089173
2024-12-24,18856.78902392555
2024-12-26,4908.544608888216
2024-12-27,-19474.56328813033
2024-12-30,-22027.59969921224
2024-12-31,-2361.4470316157676
2025-01-02,-7319.598217939492
2025-01-03,27320.580962377135
2025-01-06,2169.885482194368
